Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-1.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-10.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-11.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-12.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-13.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-14.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-15.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-16.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-17.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-18.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-19.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-2.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-20.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-21.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-22.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-23.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-24.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-25.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-26.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-27.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-28.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-29.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-3.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-30.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-31.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-32.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-33.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-34.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-35.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-36.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-37.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-38.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-39.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-4.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-40.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-41.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-42.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-43.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-44.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-45.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-46.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-47.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-48.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-49.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-5.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-50.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-51.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-52.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-53.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-54.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-6.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-7.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-8.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-9.jpg,2023,2,3,8:30,136,76,137,55,228,3,23,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-1.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-10.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-11.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-12.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-13.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-14.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-15.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-16.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-17.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-18.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-19.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-2.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-20.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-21.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-22.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-23.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-24.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-25.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-26.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-27.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-28.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-29.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-3.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-30.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-31.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-32.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-33.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-34.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-35.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-36.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-37.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-38.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-39.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-4.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-40.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-41.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-42.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-43.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-44.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-45.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-46.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-47.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-48.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-49.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-5.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-50.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-51.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-52.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-53.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-54.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_UHFSG_2023-02-05-08.30-1-55.jpg,2023,2,3,8:30,111,54,111,39,319,7,29,c_Unhealthy_for_Sensitive_Groups
