Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
"ITO, Delhi",DEL_VUnH_2023-02-04-17.00-1.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-1.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-10.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-11.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-12.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-13.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-14.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-15.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-16.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-17.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-18.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-19.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-2.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-20.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-21.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-22.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-23.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-24.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-25.jpg,2023,2,4,17:00,281,174,132,97,24,19,71,e_Very_Unhealthy
