Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1001.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1009.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1017.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1025.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1033.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1041.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1049.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-105.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1057.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1065.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1073.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1081.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1089.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1097.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1105.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1113.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1121.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1129.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-113.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1137.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1145.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1153.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1161.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1169.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1177.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1185.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1193.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1201.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1209.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-121.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1217.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1225.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1233.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1241.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1249.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1257.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1265.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1273.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1281.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1289.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-129.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1297.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1305.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1313.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1321.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1329.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1337.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1345.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1353.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1361.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1369.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-137.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1377.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1385.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1393.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1401.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1409.jpg,2022,10,2,10:00,230,185,199,10,52,12,26,e_Very_Unhealthy
