Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-2.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-3.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-4.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-5.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-6.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-7.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-1.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-10.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-100.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-101.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-102.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-103.jpg,2023,2,8,8:30,133,34,199,2,28,16,47,c_Unhealthy_for_Sensitive_Groups
