Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-1.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-10.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-11.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-2.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-3.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-4.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-5.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-6.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-7.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-8.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-1-9.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-1.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-10.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-11.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-12.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-13.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-14.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-15.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-16.jpg,2023,2,2,9:00,107,51,91,18,1,6,12,c_Unhealthy_for_Sensitive_Groups
